Organisation Name,Organisation Type,Primary Focus,Service Area,Target Age Group,Key Services
Beyond DV Youth Program,Non-Government Organization,Domestic Violence Support,Brisbane,Youth affected by DV,"Holistic early intervention, Trauma reduction, Crime prevention"
Big Bounce,Diversion Program,Youth Development,Queensland,At-risk youth,"Diversion activities, Life skills, Positive relationships"
Black Chicks Talking and Young Black and Proud,Cultural Program,Indigenous Identity,Queensland,Indigenous youth,"Cultural identity, Empowerment, Leadership development"
Blue EDGE – Darling Downs,Police Program,Youth Development,Darling Downs,Youth,"Early intervention, Development, Growth, Education"
Blue EDGE – Lowood,Police Program,Youth Development,Lowood,Youth,"Early intervention, Development, Growth, Education"
Blue EDGE – Redland Bay,Police Program,Youth Development,Redland Bay,Youth,"Early intervention, Development, Growth, Education"
Blue EDGE – YMCA Acacia Ridge,Police Program,Youth Development,Acacia Ridge,Youth,"Early intervention, Development, Growth, Education"
Blue Lures,Youth Program,Youth Engagement,Queensland,Youth,"Recreational activities, Youth engagement, Diversion programs"
Braking the Cycle,Youth Program,Driver Education,Multiple locations,16-25,Learner driver mentoring; Life skills; Employment pathways
Brisbane Youth Detention Centre,Government Facility,Youth Detention,Wacol,10-17,Secure accommodation; Education; Support services
Brisbane Youth Service,Non-Government Organization,Youth Support,Fortitude Valley,12-25,Housing support; Health services; Crisis intervention; Youth engagement
Caboolture YARN Brokerage,Support Service,Youth Connection,Caboolture,Youth,"Connection services, Brokerage support, Community engagement"
Cairns Youth Foyer,Housing Program,Youth Housing,Cairns,16-25,Accommodation; Education support; Employment pathways; Life skills development[1][10]
CALD Youth Soccer Program for a Safer Townsville,Sports Program,Multicultural Youth Engagement,Townsville,CALD youth,"Soccer activities, Cultural integration, Community safety"
Care Coordination,Support Program,Youth Case Management,Queensland,Youth,"Coordinated support, Service navigation, Holistic care"
CentacareCQ Youth Support Service,Faith-Based Organization,Youth Support,Longreach,Youth,Regional support; Case management; Faith-based programs
CentacareNQ Normanton Youth Service,Non-Government Organization,Youth Support,Normanton,Youth,Regional youth support; Case management; Cultural programs
Central Burnett Youth Service,Non-Government Organization,Youth Support,Gayndah,Youth,Rural youth support; Case management; Community engagement
Changing Habits and Reaching Targets (CHART),Justice Program,Behavioral Change,Queensland,10-17 in justice system,Offending behavior intervention; Problem solving; Relapse prevention[5]
Changing the Narrative,Youth Program,Youth Development,Queensland,Youth,"Narrative change, Positive storytelling, Youth empowerment"
Charleville Dirt Bike Rally,Recreational Event,Youth Engagement,Charleville/Roma,Youth,"Dirt bike activities, Youth engagement, Community events"
Charleville Youth Support Program,Non-Government Organization,Youth Support,Charleville,Youth,Outreach services; Youth engagement; Regional support
Chinchilla Youth Connect Service,Non-Government Organization,Youth Support,Chinchilla,Youth,Rural youth support; Community connection; Youth programs
Choices Applied Theatre Project,Arts Program,Youth Development,Queensland,Youth,"Theatre-based interventions, Creative expression, Skills development"
Circles of Support - Youth Service (Gympie),Non-Government Organization,Youth Support,Gympie,Youth,Holistic support; Case management; Community integration
Circles of Support - Youth Service (Sunshine Coast),Non-Government Organization,Youth Support,Nambour,Youth,Holistic support; Case management; Community integration
CISERR Initiative,Social Enterprise,Youth Employment,Queensland,Youth,"Creative industries, Social enterprise, Repair skills"
Cleveland Youth Detention Centre,Government Facility,Youth Detention,Belgian Gardens,10-17,Secure accommodation; Education; Support services
Cloncurry PCYC Youth Support Service,PCYC Program,Youth Support,Cloncurry,Youth,Recreational activities; Youth development; Remote community support
Coastal Connector,Youth Program,Youth Support,Coastal Queensland,Youth,"Connection services, Coastal community support, Youth engagement"
Community Action for a Multicultural Society (CAMS),Government Program,Multicultural Youth,Multiple locations,12-25,Community connection; Cultural development; Support
Community Justice Groups (CJGs),Non-Government Organizations,Indigenous Justice Support,52+ communities across Queensland,All ages (focus on Indigenous people),Justice system navigation; Community empowerment; Alcohol management support[3]
Connect Program,Non-Government Organization,Youth Support,Beenleigh,Youth,Youth engagement; Support services; Community integration
Connected Youth Strong Communities,Community Program,Youth Connection,Queensland,Youth,"Community building, Youth connection, Social support"
Cooktown District Community Centre,Community Organization,Youth Support,Cooktown,Youth,Remote community support; Youth programs; Cultural engagement
Court Up – Play Ball Basketball Project,Sports Program,Youth Engagement,Gold Coast,Youth,"Basketball activities, Sport engagement, Youth development"
CREATE Foundation,Advocacy Organization,Out-of-Home Care,Statewide,0-25,Young Consultants program; Advocacy; Support networks
Creating Safe Children – DV Early Prevention Program,Prevention Program,Domestic Violence Prevention,Queensland,Youth,"Early intervention, DV education, Safety planning"
Crime Action Through Community Empowerment Program,Community Program,Crime Prevention,Queensland,Youth,"Community empowerment, Crime prevention, Youth engagement"
Crisafulli Government Housing Initiatives,Government Program,Youth Housing,Queensland,16-25,8 new youth foyers; Housing support; Accommodation services funding[1]
Cultural Connection and Healing Camps,Cultural Program,Indigenous Healing,Queensland,Indigenous youth,"Cultural connection, Healing practices, On-country experiences"
Cultural Mentoring,Mentoring Program,Cultural Development,Queensland,Indigenous youth,"Cultural connection, Mentoring, Identity development"
Culturally Informed Therapy,Therapy Program,Cultural Mental Health,Queensland,Youth,"Cultural approaches, Therapeutic intervention, Youth support"
Dalby Youth Access Program (YAP),Non-Government Organization,Youth Support,Dalby,Youth,Rural youth support; Access services; Community integration
DBCYP - Youth Access Moreton Bay Initiative (YAMBI),Non-Government Organization,Youth Support,Deception Bay,Youth,Case management; Youth engagement; Community development
Department of Child Safety Seniors and Disability Services,Government Department,Child Protection,Statewide,0-18,Child protection; Family support; Disability services
Department of Education,Government Department,Education,Statewide,5-18,Educational support; Re-engagement programs
Department of Housing,Government Department,Housing,Statewide,All ages,Housing assistance; Accommodation support
Department of Youth Justice,Government Agency,Youth Justice,Statewide,10-17,Case management; Bail support; Restorative justice; Detention centers
Department of Youth Justice (Youth and Family Support Service),Government Agency,Youth Justice Support,Brisbane region,10-17,Family support; Short to medium term support; Referrals; Group sessions
Dis Yu-on-ner,Cultural Program,Indigenous Youth Connection,Queensland,Indigenous youth,"On-country experiences, Cultural connection, Youth development"
Discovery Coast Youth Service,Non-Government Organization,Youth Support,Agnes Water,Youth,Coastal community support; Youth engagement; Recreational activities
Doomadgee Aboriginal Community Performing Arts Camp,Arts Program,Indigenous Performance Arts,Doomadgee,Indigenous youth,"Performing arts, Cultural expression, Community building"
Doomadgee Youth Support Service,Non-Government Organization,Indigenous Youth Support,Doomagdgee,Indigenous youth,Remote community support; Cultural programs; Youth engagement
Early Intervention for Disengaged Youth Project,Intervention Program,Youth Re-engagement,Queensland,Disengaged youth,"Early intervention, Re-engagement strategies, Support services"
ELAM Youth Support Service,Non-Government Organization,Youth Support,Moranbah,Youth,Mining community support; Youth programs; Community engagement
Emotional Regulation and Impulse Control,Therapeutic Program,Behavioral Development,Queensland,Youth offenders,"Emotional management, Impulse control, Cognitive skills"
Empowering Youth Program,Empowerment Program,Youth Development,Ipswich,Youth,"Empowerment strategies, Youth development, Support services"
Engaging Technology for Crime Prevention,Technology Program,Crime Prevention,Queensland,First Nations youth,"Technology engagement, Crime prevention, Youth development"
Equine Experience,Therapy Program,Youth Mental Health,Queensland,Youth,"Equine therapy, Mental health support, Experiential learning"
eSafety Youth Advisory Council,Advisory Group,Online Safety,Australia,Youth,Online safety insights; Government advice; Youth perspective[3]
Family and Child Connect and Intensive Family Support,Family Service,Family Intervention,Queensland,Families with children,"Family support, Early intervention, Intensive case management"
Fast-track Sentencing Pilot program,Justice Program,Court Efficiency,Queensland,Young offenders,"Expedited court processes, Early intervention, Justice system efficiency"
Fight 4 Youth's Inside Out Program,Development Program,Youth Support,Gold Coast,Youth,"Personal development, Boxing-based intervention, Support services"
First Nations Action Board,Advisory Board,Indigenous Youth Justice,Queensland,Indigenous youth,Cultural authority; Decision-making; Justice system navigation[2]
First Nations Justice Office (FNJO),Government Agency,Justice Reinvestment,Queensland,Indigenous youth,Justice reinvestment initiatives; Licensing and identification musters; Community-led programs[1]
First Nations Parents Program,Support Program,Family Support,Queensland,Indigenous parents,Parenting skills; Cultural connection; Family strengthening support[2][5]
Flame Project,Youth Program,Youth Development,Queensland,Youth,"Personal development, Youth engagement, Support services"
Forge AHEAD Program,Development Program,Youth Advancement,Queensland,Youth,"Leadership development, Skill-building, Future planning"
FoyerInvest,Consortium,Youth Housing Advocacy,National,16-25,Advocacy coalition; Investment coordination; Policy development; Government engagement[11][13]
Fraser Coast Youth Support Service,Non-Government Organization,Youth Support,Maryborough,Youth,Regional youth support; Case management; Youth programs
Free Kindy Program,Education Program,Early Childhood,Queensland,Pre-school children,Early education; Development support; Family engagement services[2][5]
Garbutt Youth Hub,Community Center,Youth Support,Garbutt,Youth,"Safe space, Youth activities, Community support, Drop-in services"
Gold Coast Project for Homeless Youth,Non-Government Organization,Youth Homelessness,Gold Coast,16-25,Crisis accommodation; Transitional housing; Support services
Gold Coast Youth Foyer,Housing Program,Youth Housing,Gold Coast,16-25,Single occupancy units; Education support; Employment pathways; Independent living skills[7][14]
Gold Coast Youth Service (YASS),Non-Government Organization,Youth Support,Miami,Youth,Youth access; Support services; Case management; Community engagement
Goondiwindi Youth Access Service,Non-Government Organization,Youth Support,Goondiwindi,Youth,Rural youth support; Access services; Community integration
Granite Belt Youth Support Service,Non-Government Organization,Youth Support,Stanthorpe,Youth,Regional youth support; Case management; Youth programs
Happy Mindful Souls,Wellbeing Program,Youth Mental Health,Queensland,Youth,"Mindfulness practices, Mental wellbeing, Emotional regulation"
Headspace,Mental Health Service,Youth Mental Health,Multiple Queensland locations,12-25,Mental health support; Early intervention; Counseling
Healing Our Families Wellbeing Program,Family Program,Family Wellbeing,Queensland,Youth and families,"Family healing, Wellbeing initiatives, Support services"
Health Home Visiting Program,Health Program,Family Health,Queensland,Families with young children,Antenatal support; Early intervention; Health monitoring services[2][5]
Hinchinbrook Community Support Centre,Community Organization,Youth Support,Ingham,Youth,Community-based support; Youth programs; Access services
Home Time Campaign,Advocacy Campaign,Youth Homelessness,National,16-25,Youth housing advocacy; Policy influence; Awareness raising campaigns[13]
Horse Helping Humans Youth Mentoring Program,Mentoring Program,Youth Development,Gold Coast,Youth,"Equine mentoring, Personal development, Youth support"
Horse Whispering,Therapy Program,Youth Intervention,Queensland,At-risk youth,"Equine intervention, Youth justice support, Therapeutic approach"
ICYS - Regional Youth Support Service (Lockyer Valley and Somerset),Non-Government Organization,Youth Support,Lockyer Valley,Youth,Regional support; Case management; Youth engagement
ICYS Ipswich Community Youth Service,Youth Service,Youth Support,Ipswich,10-25,Support services; Advocacy; Crisis intervention
ICYS Youth Access and Support Service,Non-Government Organization,Youth Support,Ipswich,Youth,Youth access; Support services; Community integration
IFYS Limited,Non-Government Organization,Youth & Family Support,South-East Queensland,12-25,Housing; Youth support; Family intervention
In-Tent for Change Resilience Program,Resilience Program,Youth Development,Logan,Youth,"Resilience building, Camping experiences, Youth development"
Inala Youth Service,Non-Government Organization,Youth Support,Inala,10-25,Case management; Outreach; Youth engagement
Indigenous Resilience Advancement Program,Resilience Program,Indigenous Youth Support,Queensland,Indigenous youth,"Resilience building, Cultural strength, Youth advancement"
Indigenous Youth Service,Non-Government Organization,Indigenous Youth Support,Woolloongabba,Indigenous youth,Cultural support; Case management; Community connection
Injilinji Youth Health and Life Skills Services,Non-Government Organization,Youth Health,Healy,Youth,Health services; Life skills development; Youth support
Innisfail Boiler Room Recreational Centre,Community Organization,Youth Recreation,Innisfail,Youth,Recreational activities; Youth engagement; Safe spaces
Innisfail Youth and Family Care Inc,Non-Government Organization,Youth Support,Innisfail and Cairns,12-25,Recreational activities; Emergency accommodation; Community engagement
Inside Out Program,Development Program,Youth Support,Queensland,Youth,"Personal development, Inside-out approach, Support services"
Intensive Case Management,Support Program,Youth Offender Support,Queensland,Youth in justice system,Case management; Coordinated support; Rehabilitation[5]
It Takes a Community,Community Program,Youth Support,Toowoomba,Youth,"Community involvement, Youth support, Collective approach"
IYS - Community-based Youth Support,Non-Government Organization,Youth Support,Inala,Youth,Community support; Youth engagement; Case management
Jabalbina On-Country Extension Youth Services,Indigenous Program,On-Country Learning,Queensland,Indigenous youth,"On-country experiences, Cultural learning, Youth services"
Jabiru Community Youth and Children's Services,Non-Government Organization,Community Support,Greater Brisbane,5-18,After school care; Youth programs; Family support
Jabiru Youth Support Services,Non-Government Organization,Youth Support,Bracken Ridge,Youth,Support services; Case management; Youth programs
Justice Reform Office (JRO),Government Agency,Justice System Reform,Queensland,Youth in justice system,Co-leading justice reinvestment; Framework development; Community initiatives[1]
KENG's Youth Wellness Program,Wellbeing Program,Youth Health,Queensland,Youth,"Wellness promotion, Healthy lifestyles, Youth development"
Kindness Works COACH Youth Mentoring,Mentoring Program,Youth Support,Hervey Bay and expanding,13-16,One-to-one mentoring; Life skills; Community support (launching February 2025)[17][20]
KOKO Transition to Community Program,Transition Program,Youth Reintegration,South Brisbane,Youth,"Community transition, Support services, Reintegration assistance"
KYC - Youth Access Moreton Bay Initiative (YAMBI),Non-Government Organization,Youth Support,Caboolture,Youth,Youth access; Support services; Community engagement
Launchpad,Support Service,Autism Support,Queensland,Youth with autism,Resource provision; Family support; Autism-specific services[6]
Legal Aid Queensland,Legal Service,Youth Legal Support,Queensland,10-18,Legal representation; Court support; Legal advice
Life Without Barriers,Non-Government Organization,Youth Justice Services,Statewide,10-25,Life skills development; Employment assistance; Housing support
Live Long Live Strong,Non-Government Organization,Youth Health,Cannon Hill,Youth,Health promotion; Youth wellbeing; Support services
Livingstone Shire Council's Youth Services,Local Government Service,Youth Support,Yeppoon,Youth,Council-led programs; Youth engagement; Community development
Local Government Safety Fund,Government Program,Community Safety,Queensland local government areas,Communities,Safety initiatives; Crime prevention; Local solutions[5]
Lockhart River Aboriginal Shire Council Youth Support,Local Government Service,Indigenous Youth Support,Lockhart River,Indigenous youth,Remote community support; Cultural programs; Youth engagement
Logan Youth Empowerment and Recidivism Reduction Program,Justice Program,Youth Justice,Logan,At-risk youth,"Recidivism reduction, Empowerment, Justice support"
Logan Youth Foyer,Housing Program,Youth Housing,Logan,16-25,Self-contained units; Safe accommodation; Education support; Employment pathways[7][11]
LOVE BITES,Education Program,Respectful Relationships,Queensland,Youth,"Relationship education, Violence prevention, Community empowerment"
Lutheran Church Youth Justice Program,Faith-Based Organization,Youth Justice Support,Brisbane,At-risk youth,"Complex case coordination, Intensive case management, Social and emotional wellbeing"
Lutheran Church Youth Justice Program,Faith-Based Organization,Youth Justice Support,Brisbane,At-risk youth,"Complex case coordination, Intensive case management, Social and emotional wellbeing"
Made by Mob,Cultural Program,Indigenous Arts,Queensland,Indigenous youth,"Cultural arts, Creative expression, Indigenous-led initiatives"
Marigurim Yalaam Indigenous Corporation,Indigenous Organization,Cultural Justice,Hervey Bay,Indigenous youth,"Rites of Passage framework, Cultural camps, Ongoing support"
Marigurim Yalaam Indigenous Corporation,Indigenous Organization,Cultural Justice,Hervey Bay,Indigenous youth,"Rites of Passage framework, Cultural camps, Ongoing support"
MEEKA Intensive Transition Support Service,Support Service,Youth Transition,Sunshine Coast,Youth,"Intensive support, Transition assistance, Case management"
Mission Australia,Non-Government Organization,Youth Services,Statewide,12-25,Housing; Employment; Education; Mental health
Mission Australia (Townsville Youth Foyer),Non-Government Organization,Youth Housing Support,Townsville,16-25,Housing services; Life skills development; Education support; Employment assistance[7][12]
Mithangkaya Nguli's Performing Arts Camp,Arts Program,Indigenous Performance Arts,Queensland,Indigenous youth,"Performing arts, Cultural expression, Skill development"
Monto Rural Youth Service,Non-Government Organization,Youth Support,Monto,Youth,Rural youth support; Case management; Community engagement
Mornington Island Youth Service,Non-Government Organization,Indigenous Youth Support,Wellesley Islands,Indigenous youth,Island community support; Cultural programs; Youth engagement
Mossman Youth Services,Non-Government Organization,Youth Support,Mossman,Youth,Regional youth support; Case management; Youth programs
Mount Isa Youth Support Service,Non-Government Organization,Youth Support,Mount Isa,Youth,Regional support; Case management; Youth programs
Mt Gravatt Police Citizens Youth Club,PCYC Program,Youth Development,Upper Mount Gravatt,Youth,Recreational activities; Youth programs; Skills development
Multicultural Australia,Non-Government Organization,Multicultural Youth,Brisbane & regional areas,12-25,Settlement support; Cultural integration; Education
Mungalla SLS Community Youth Officer,Support Role,Youth Development,Mungalla,Youth,"Surf life saving, Community support, Youth development"
Murma Thalgarie,Cultural Program,Indigenous Support,Townsville,Indigenous youth,"Cultural support, Community connection, Youth services"
Murra Pathways,Career Program,Indigenous Employment,Queensland,Indigenous youth,"Career development, Aspiration building, Cultural connection"
My Connect,Support Program,Youth Connection,Queensland,Youth,"Connection services, Support networks, Youth engagement"
Napranum Youth Support Service,Non-Government Organization,Indigenous Youth Support,Napranum,Indigenous youth,Remote community support; Cultural programs; Youth engagement
National Housing Infrastructure Facility Crisis and Transitional (NHIF CT),Government Program,Homelessness Support,National,All ages (includes youth),Housing infrastructure; Crisis accommodation; Transitional housing support[13]
National Office for Youth - Promotion of STEM Youth Advisory Group,Advisory Group,STEM Education,Australia,Youth,STEM barriers; Youth engagement; Professional development[3]
National Office for Youth - Safe and Supported Youth Advisory Group,Advisory Group,Child Protection,Australia,Youth,Policy advice; Framework development; Child protection[3]
Navigate Your Health,Health Program,Youth Health,Queensland,Youth in care or youth justice system,"Health assessments, Healthcare coordination, Medical referrals"
Nerang Neighbourhood Centre Youth Support Program,Community Organization,Youth Support,Nerang,Youth,Neighborhood-based support; Youth programs; Community engagement
NextGen Leadership,Leadership Program,Youth Leadership,Queensland,Youth,"Leadership development, Future skills, Youth empowerment"
Noosa Youth Connect Space,Community Space,Youth Connection,Noosa,Youth,"Safe space, Youth connection, Community engagement"
NPA Youth Support Service,Non-Government Organization,Youth Support,Bamaga,Youth,Remote community support; Cultural programs; Youth engagement
One Under the Sun,Unity Program,Youth Connection,Queensland,Youth,"Cultural unity, Community building, Youth engagement"
Onwards & Upwards wellbeing mentoring program,Mentoring Program,Youth Wellbeing,Queensland schools,School-aged youth,"Wellbeing mentoring, School-based support, Youth development"
Open Doors Youth Service,Non-Government Organization,LGBTIQ+ Youth,Brisbane,12-24,Counseling; Support groups; Crisis accommodation
Our Learning Our Way,Educational Program,Indigenous Education,Queensland,Indigenous youth,"Cultural education, Learning pathways, Indigenous-led programs"
Our Space Team Development,Team Building Program,Youth Development,Rockhampton,Youth,"Team skills, Development activities, Youth empowerment"
Paroo Youth Program,Government Program,Youth Support,Cunnamulla,Youth,Rural youth support; Youth programs; Community engagement
Pathway to Purpose Project,Development Program,Youth Purpose,Queensland,Youth,"Purpose development, Career planning, Life skills"
PCYC Braking the Cycle,Mentoring Program,Driver Education,Multiple Queensland locations,16-25,Learner driver mentoring; Road safety; Employment pathways
PCYC Deep Blue Line,Youth Program,Police Engagement,Multiple Queensland locations,12-17,Leadership development; Police relationship building; Career pathways
PCYC Emergency Services Cadets,Youth Program,Emergency Services Training,Multiple Queensland locations,12-17,Skills development; Community service; Emergency response training
PCYC Hervey Bay Service,PCYC Program,Youth Development,Pialba,Youth,Recreational activities; Youth programs; Skills development
PCYC Mackay Community Culture Youth Program,Community Program,Youth Culture,Mackay/Whitsundays,Youth,"Cultural activities, Community connection, Youth development"
PCYC Mareeba POST program,PCYC Program,Youth Training,Mareeba,Youth,Training opportunities; Youth support; Skills development
PCYC Mornington Island After Dark Drop-in Program,Community Program,Youth Engagement,Mornington Island,Youth,"After-hours activities, Drop-in services, Island community support"
PCYC Queensland,Non-Government Organization,Youth Development,11 locations across Queensland,12-21,Youth support services; Recreation; Development programs
PCYC Safer Communities Program,Non-Government Program,Crime Prevention,Multiple Queensland locations,10-17,Early intervention; Community safety; Youth engagement
PCYC Yarrabah After School Programming,After-School Program,Youth Support,Yarrabah,School-aged youth,"After-school activities, Youth engagement, Supervised recreation"
PCYC Zillmere Basketball After Dark Program,Sports Program,Youth Engagement,Zillmere,Youth,"After-hours basketball, Youth engagement, Diversion activities"
PCYC Zillmere Learner Licence Road Safety Program,Education Program,Driver Education,Zillmere,Youth,"Learner license support, Road safety education, Driving skills"
Peirson Services Youth Support Service,Non-Government Organization,Youth Support,Bundaberg South,Youth,Case management; Youth programs; Support services
Picabeen Bright Futures Project,Non-Government Program,Youth Development,Mitchelton,Youth,"Future planning, Skills development, Youth engagement"
Picabeen Youth Support Service,Non-Government Organization,Youth Support,Mitchelton,Youth,Community-based support; Youth programs; Case management
Preventing Violence Affecting Young Lives,Prevention Program,Violence Prevention,Queensland,Youth,"Violence prevention, Education, Youth empowerment"
Project Booyah,Police-led Program,Youth Engagement,Queensland,At-risk youth,"Adventure-based learning, Leadership skills, Vocational education"
Project Valkyrie,Youth Program,Youth Empowerment,Queensland,Youth,"Empowerment initiatives, Youth development, Support services"
Proserpine Youth Space - Youth Development Facility,Youth Facility,Youth Development,Proserpine,Youth,Safe space; Recreational activities; Youth programs
Prospect Community Services Youth Support Program,Non-Government Organization,Youth Support,Charters Towers City,Youth,Case management; Youth engagement; Community development
Proud Warrior (Queensland Youth Services),Non-Government Organization,Indigenous Youth Support,Townsville and Mount Isa,Indigenous and at-risk youth,"Multi-agency intervention, School re-engagement, Case management"
Proud Warrior (Queensland Youth Services),Non-Government Organization,Indigenous Youth Support,Townsville and Mount Isa,Indigenous and at-risk youth,"Multi-agency intervention, School re-engagement, Case management"
QATSICPP (Youth Justice Peak),Peak Body,Youth Justice Coordination,Queensland,Youth (Indigenous focus),Policy development; Community safety initiatives; Workforce development[2][5]
QPCYWA Palm Island Youth Support,PCYC Program,Indigenous Youth Support,Palm Island,Indigenous youth,Island community support; Cultural programs; Youth engagement
Queensland Aboriginal and Torres Strait Island Child Protection Peak (QATSICPP),Peak Body,Youth Justice Coordination,Queensland,Youth (focus on Indigenous),Policy development; Community safety; Workforce development; Evidence-based approaches[2][5]
Queensland Council of Social Services (QCOSS),Peak Body,Social Services,Queensland,All ages,Policy development; Sector support; Advocacy[5][8]
Queensland Family and Child Commission (QFCC) Youth Advocates,Government Agency,Youth Advocacy,Queensland,14-25,Youth participation; System monitoring; Policy development; Youth Advisory Council
Queensland Health,Government Department,Health Services,Statewide,All ages,Physical health; Mental health; Substance abuse treatment
Queensland Health Youth Services,Health Service,Youth Health,Queensland detention centers and community,10-25,Primary healthcare; Mental health support; Allied health services
Queensland Indigenous Youth Leadership Program,Government Program,Indigenous Leadership,Queensland,18-25,Leadership development; Cultural connection; Government engagement
Queensland Pathways College,Educational Institution,Detention Education,Queensland detention centers,10-17 in detention,Core curriculum; Literacy and numeracy; Vocational pathways
Queensland Police Service,Government Department,Law Enforcement,Statewide,All ages,Youth Crime Prevention; Early intervention
Queensland Youth and Families Support Services (QYFSS),Non-Government Organization,Family Support,Statewide,12-25,Youth empowerment; Family harmony; Community building
Queensland Youth eHub,Online Platform,Youth Engagement,Queensland,Youth,Online engagement; Youth voice; Issue discussion[6]
Queensland Youth Housing Coalition,Advocacy Organization,Housing Advocacy,Statewide,12-25,Housing policy; Advocacy; Research
Queensland Youth Parliament (QYP),Youth Program,Youth Governance,Queensland,15-25,Bill development; Parliamentary debate; Community representation
Queensland Youth Services (QYS),Non-Government Organization,Youth Support,North Queensland,8-25,Early intervention; Driver mentoring; Young parent support
Queensland Youth Week,Government Event,Youth Celebration,Queensland,12-25,Youth recognition; Community engagement; Skills showcase
Queensland Youth Week (QYW),Government Initiative,Youth Celebration,Queensland,12-25,Events; Youth recognition; Community engagement; Talent showcase[8]
Queensland's Department of Youth,Government Department,Youth Services,Queensland,Youth,Support services; Youth engagement; Policy development[6]
QYS Early Intervention Program,Non-Government Program,Family Stability,North Queensland,12-18,Family engagement; Education support; Community connection
QYS Housing Support Service,Non-Government Program,Youth Housing,North Queensland,16-21,Housing assistance; Homelessness prevention; Independent living support
QYS Learner Driver Mentor Program,Non-Government Program,Driver Education,North Queensland,16-25,Supervised driving lessons; Road safety knowledge; Driving skills
QYS Mental Health Initiative,Non-Government Program,Youth Mental Health,North Queensland,15-25,Mental health support; Capacity building; Wellbeing prioritization
QYS Young Parent Support Service,Non-Government Program,Young Parent Support,North Queensland,Under 25,Parenting skills; Case management; Specialized activities
Ravenshoe Youth Support Service,Non-Government Organization,Youth Support,Ravenshoe,Youth,Rural youth support; Case management; Community engagement
Raw Impact Cultural Connection,Non-Government Organization,Cultural Support,Toowoomba,At-risk youth,"Cultural connection, Yumba land rejuvenation, Ongoing engagement"
Raw Impact Cultural Connection,Non-Government Organization,Cultural Support,Toowoomba,At-risk youth,"Cultural connection, Yumba land rejuvenation, Ongoing engagement"
RAYS - Youth Access Moreton Bay Initiative (YAMBI),Non-Government Organization,Youth Support,Redcliffe,Youth,Youth access; Support services; Community engagement
